anime_norm_title,score,author(s),publisher,no. of collected volumes,approximate sales in million(s),average sales per volume in million(s),award,cr_award_winner
nana,8.56,Ai Yazawa,Shueisha,21.0,50.0,2.380952380952381,Not Award Winning,Not Crunchyroll Winner
fable,8.13,Katsuhisa Minami,Kodansha,26.0,20.0,0.7692307692307693,Not Award Winning,Not Crunchyroll Winner
gantz,6.97,Hiroya Oku,Shueisha,37.0,24.0,0.6486486486486487,Not Award Winning,Not Crunchyroll Winner
golgo,7.51,"Takao Saito, Saito Production",Shogakukan,207.0,300.0,1.4492753623188406,Not Award Winning,Not Crunchyroll Winner
toriko,7.51,Mitsutoshi Shimabukuro,Shueisha,43.0,25.0,0.5813953488372093,Not Award Winning,Not Crunchyroll Winner
reborn,8.12,Akira Amano,Shueisha,42.0,30.0,0.7142857142857143,Not Award Winning,Not Crunchyroll Winner
naruto,8.01,Masashi Kishimoto,Shueisha,72.0,250.0,3.4722222222222223,Not Award Winning,Not Crunchyroll Winner
bleach,7.97,Tite Kubo,Shueisha,74.0,130.0,1.7567567567567568,Not Award Winning,Not Crunchyroll Winner
haikyu,8.44,Haruichi Furudate,Shueisha,45.0,55.0,1.2222222222222223,Not Award Winning,Not Crunchyroll Winner
yugioh,7.5,Kazuki Takahashi,Shueisha,38.0,40.0,1.0526315789473684,Not Award Winning,Not Crunchyroll Winner
berserk,8.6,"Kentaro Miura, Kōji Mori, Studio Gaga",Hakusensha,41.0,55.0,1.3414634146341464,Not Award Winning,Not Crunchyroll Winner
saiyuki,7.54,Kazuya Minekura,"Square Enix, Ichijinsha",27.0,25.0,0.9259259259259259,Not Award Winning,Not Crunchyroll Winner
ranma ½,7.77,Rumiko Takahashi,Shogakukan,38.0,55.0,1.4473684210526316,Not Award Winning,Not Crunchyroll Winner
boys be,6.38,"Masahiro Itabashi, Hiroyuki Tamakoshi",Kodansha,32.0,25.0,0.78125,Not Award Winning,Not Crunchyroll Winner
kingdom,8.83,Yasuhisa Hara,Shueisha,68.0,97.0,1.4264705882352942,Not Award Winning,Not Crunchyroll Winner
gintama,8.93,Hideaki Sorachi,Shueisha,77.0,55.5,0.7207792207792207,Not Award Winning,Not Crunchyroll Winner
monster,8.89,Naoki Urasawa,Shogakukan,18.0,20.0,1.1111111111111112,Not Award Winning,Not Crunchyroll Winner
doraemon,7.87,Fujiko F. Fujio,Shogakukan,45.0,250.0,5.555555555555555,Not Award Winning,Not Crunchyroll Winner
inuyasha,7.87,Rumiko Takahashi,Shogakukan,56.0,50.0,0.8928571428571429,Not Award Winning,Not Crunchyroll Winner
dgrayman,8.0,Katsura Hoshino,Shueisha,28.0,25.0,0.8928571428571429,Not Award Winning,Not Crunchyroll Winner
love hina,7.09,Ken Akamatsu,Kodansha,14.0,20.0,1.4285714285714286,Not Award Winning,Not Crunchyroll Winner
blue lock,8.17,"Muneyuki Kaneshiro, Yusuke Nomura",Kodansha,24.0,26.0,1.0833333333333333,Not Award Winning,Not Crunchyroll Winner
astro boy,7.09,Osamu Tezuka,Kobunsha,23.0,100.0,4.3478260869565215,Not Award Winning,Not Crunchyroll Winner
slam dunk,8.55,Takehiko Inoue,Shueisha,31.0,170.0,5.483870967741935,Not Award Winning,Not Crunchyroll Winner
fairy tail,7.57,Hiro Mashima,Kodansha,63.0,72.0,1.1428571428571428,Not Award Winning,Not Crunchyroll Winner
zatch bell,7.55,Makoto Raiku,Shogakukan,33.0,23.8,0.7212121212121212,Not Award Winning,Not Crunchyroll Winner
death note,8.62,"Tsugumi Ohba, Takeshi Obata",Shueisha,12.0,30.0,2.5,Not Award Winning,Not Crunchyroll Winner
black jack,7.73,Osamu Tezuka,Akita Shoten,25.0,50.0,2.0,Not Award Winning,Not Crunchyroll Winner
fire force,7.72,Atsushi Ohkubo,Kodansha,34.0,20.0,0.5882352941176471,Not Award Winning,Not Crunchyroll Winner
glass mask,8.03,Suzue Miuchi,Hakusensha,49.0,50.0,1.0204081632653061,Not Award Winning,Not Crunchyroll Winner
rave master,7.2,Hiro Mashima,Kodansha,35.0,23.5,0.6714285714285714,Not Award Winning,Not Crunchyroll Winner
yuri on ice,7.9,Mitsurou Kubo,Gentosha,6.0,23.0,3.8333333333333335,Award Winning,Crunchyroll Award Winner
sailor moon,7.75,Naoko Takeuchi,Kodansha,18.0,46.0,2.5555555555555554,Not Award Winning,Not Crunchyroll Winner
shaman king,7.73,Hiroyuki Takei,Shueisha/Kodansha,33.0,38.0,1.1515151515151516,Not Award Winning,Not Crunchyroll Winner
dragon ball,7.98,Akira Toriyama,Shueisha,42.0,260.0,6.190476190476191,Not Award Winning,Not Crunchyroll Winner
tokyo ghoul,7.79,Sui Ishida,Shueisha,30.0,47.0,1.5666666666666667,Not Award Winning,Not Crunchyroll Winner
chihayafuru,8.18,Yuki Suetsugu,Kodansha,50.0,28.0,0.56,Not Award Winning,Not Crunchyroll Winner
space brors,8.48,Chūya Koyama,Kodansha,42.0,31.0,0.7380952380952381,Not Award Winning,Not Crunchyroll Winner
hikaru no go,8.07,"Yumi Hotta, Takeshi Obata",Shueisha,23.0,25.0,1.0869565217391304,Not Award Winning,Not Crunchyroll Winner
black butler,7.65,Yana Toboso,Square Enix,32.0,32.0,1.0,Not Award Winning,Not Crunchyroll Winner
golden kamuy,7.88,Satoru Noda,Shueisha,31.0,24.0,0.7741935483870968,Not Award Winning,Not Crunchyroll Winner
chainsaw man,8.45,Tatsuki Fujimoto,Shueisha,14.0,24.0,1.7142857142857142,Not Award Winning,Not Crunchyroll Winner
oh my goddess,7.28,Kōsuke Fujishima,Kodansha,48.0,25.0,0.5208333333333334,Not Award Winning,Not Crunchyroll Winner
maison ikkoku,8.19,Rumiko Takahashi,Shogakukan,15.0,25.0,1.6666666666666667,Not Award Winning,Not Crunchyroll Winner
solo leveling,8.25,Chu-Gong,D&C Media / Yen Press,14.2,78.0,5.492957746478874,Not Award Winning,Crunchyroll Award Winner
giant killing,7.53,"Masaya Tsunamoto, Tsujitomo",Kodansha,61.0,20.0,0.32786885245901637,Not Award Winning,Not Crunchyroll Winner
made in abyss,8.63,Akihito Tsukushi,Takeshobo,14.0,60.0,4.285714285714286,Not Award Winning,Crunchyroll Award Winner
fruits basket,8.95,Natsuki Takaya,Hakusensha,23.0,30.0,1.3043478260869565,Not Award Winning,Not Crunchyroll Winner
blue exorcist,7.47,Kazue Kato,Shueisha,28.0,25.0,0.8928571428571429,Not Award Winning,Not Crunchyroll Winner
baki grappler,7.45,Keisuke Itagaki,Akita Shoten,143.0,85.0,0.5944055944055944,Not Award Winning,Not Crunchyroll Winner
jujutsu kaisen,8.54,Gege Akutami,Shueisha,22.0,70.0,3.1818181818181817,Award Winning,Crunchyroll Award Winner
ushio and tora,7.15,Kazuhiro Fujita,Shogakukan,33.0,30.0,0.9090909090909091,Not Award Winning,Not Crunchyroll Winner
ace of diamond,8.11,Yuji Terajima,Kodansha,78.0,40.0,0.5128205128205128,Not Award Winning,Not Crunchyroll Winner
urusei yatsura,7.71,Rumiko Takahashi,Shogakukan,34.0,35.0,1.0294117647058822,Not Award Winning,Not Crunchyroll Winner
flame of recca,7.34,Nobuyuki Anzai,Shogakukan,33.0,25.0,0.7575757575757576,Not Award Winning,Not Crunchyroll Winner
attack on titan,8.56,Hajime Isayama,Kodansha,34.0,110.0,3.235294117647059,Award Winning,Crunchyroll Award Winner
captain tsubasa,7.46,Yōichi Takahashi,Shueisha,108.0,90.0,0.8333333333333334,Not Award Winning,Not Crunchyroll Winner
rurouni kenshin,8.28,Nobuhiro Watsuki,Shueisha,28.0,72.0,2.5714285714285716,Not Award Winning,Not Crunchyroll Winner
tokyo revengers,7.85,Ken Wakui,Kodansha,31.0,70.0,2.2580645161290325,Not Award Winning,Not Crunchyroll Winner
yowamushi pedal,7.92,Wataru Watanabe,Akita Shoten,80.0,28.0,0.35,Not Award Winning,Not Crunchyroll Winner
devilman crybaby,7.74,Go Nagai,Kodansha,5.0,50.0,10.0,Not Award Winning,Crunchyroll Award Winner
my hero academia,7.84,Kōhei Horikoshi,Shueisha,37.0,85.0,2.2972972972972974,Not Award Winning,Not Crunchyroll Winner
nodame cantabile,8.25,Tomoko Ninomiya,Kodansha,23.0,39.0,1.6956521739130435,Not Award Winning,Not Crunchyroll Winner
prince of tennis,7.85,Takeshi Konomi,Shueisha,42.0,60.0,1.4285714285714286,Not Award Winning,Not Crunchyroll Winner
cardcaptor sakura,8.18,Clamp,Kodansha,24.0,22.0,0.9166666666666666,Not Award Winning,Not Crunchyroll Winner
seven deadly sins,7.61,Nakaba Suzuki,Kodansha,41.0,38.0,0.926829268292683,Not Award Winning,Not Crunchyroll Winner
promised neverland,8.48,"Kaiu Shirai, Posuka Demizu",Shueisha,20.0,41.0,2.05,Not Award Winning,Not Crunchyroll Winner
rose of versailles,8.35,Riyoko Ikeda,Shueisha,10.0,23.0,2.3,Not Award Winning,Not Crunchyroll Winner
kurokos basketball,8.05,Tadatoshi Fujimaki,Shueisha,30.0,31.0,1.0333333333333334,Not Award Winning,Not Crunchyroll Winner
fist of north star,7.96,"Buronson, Tetsuo Hara",Shueisha,27.0,100.0,3.7037037037037037,Not Award Winning,Not Crunchyroll Winner
fullmetal alchemist,8.11,Hiromu Arakawa,"Enix (2001–2003), Square Enix (2003–2010)",27.0,80.0,2.962962962962963,Award Winning,Not Crunchyroll Winner
kimagure orange road,7.51,Izumi Matsumoto,Shueisha,18.0,20.0,1.1111111111111112,Not Award Winning,Not Crunchyroll Winner
hayate combat butler,7.5,Kenjiro Hata,Shogakukan,52.0,20.0,0.38461538461538464,Not Award Winning,Not Crunchyroll Winner
great teacher onizuka,8.68,Tooru Fujisawa,Kodansha,25.0,50.0,2.0,Not Award Winning,Not Crunchyroll Winner
kaguyasama love is war,8.4,Aka Akasaka,Shueisha,28.0,22.0,0.7857142857142857,Not Award Winning,Not Crunchyroll Winner
assassination classroom,8.07,Yūsei Matsui,Shueisha,21.0,25.0,1.1904761904761905,Not Award Winning,Not Crunchyroll Winner
jojos bizarre adventure,7.87,Hirohiko Araki,Shueisha,131.0,120.0,0.916030534351145,Not Award Winning,Not Crunchyroll Winner
neon genesis evangelion,8.36,Yoshiyuki Sadamoto,Kadokawa Shoten,14.0,25.0,1.7857142857142858,Award Winning,Not Crunchyroll Winner
a certain magical index,7.34,Kazuma Kamachi,Square Enix,105.0,31.0,0.29523809523809524,Not Award Winning,Not Crunchyroll Winner
magi labyrinth of magic,8.01,Shinobu Ohtaka,Shogakukan,37.0,25.0,0.6756756756756757,Not Award Winning,Not Crunchyroll Winner
quintessential quintuplets,7.63,Negi Haruba,Kodansha,14.0,20.0,1.4285714285714286,Not Award Winning,Not Crunchyroll Winner
food wars shokugeki no soma,8.12,"Yūto Tsukuda, Shun Saeki",Shueisha,36.0,20.0,0.5555555555555556,Not Award Winning,Not Crunchyroll Winner
tsubasa reservoir chronicle,7.51,Clamp,Kodansha,28.0,21.0,0.75,Not Award Winning,Not Crunchyroll Winner
dragon quest adventure of dai,7.72,"Riku Sanjo, Koji Inada",Shueisha,37.0,50.0,1.3513513513513513,Not Award Winning,Not Crunchyroll Winner
demon slayer kimetsu no yaiba,8.43,Koyoharu Gotouge,Shueisha,23.0,150.0,6.521739130434782,Award Winning,Crunchyroll Award Winner
that time i got reincarnated as a slime,8.14,"Fuse, Taiki Kawakami",Kodansha,22.0,40.0,1.8181818181818181,Not Award Winning,Not Crunchyroll Winner
